mfName,MFType,score_raw,age_months,cost_of_uniqueness,crowding_score,flow_vol_ann_36m_std,flows_ann_36m_avg,ret_3m,ret_6m,value_added,vol_ret_36m,score_0_100,rank
Maybank Dana Ekuitas,SH,-0.460944694614948,226,7.017596516973617,0.4300042770590883,0.0225936158461547,-0.0124099242856435,0.0850281851275227,0.0540385222061889,-18.41966364426564,0.0390129970373325,36.6,88
Cipta GTWS Equity,SH,-0.5152986907750717,130,5.350808531088493,0.3458932459151161,0.0228908382734508,-0.0134801738119744,0.051207250410252,-0.0421060995107087,-8.22493990769695,0.0397596104181114,35.2,89
Manulife Dana Saham Kelas A,SH,-0.5199555682529999,271,4.149348742640976,0.3974958107741985,0.032933874406731,-0.0189716395467858,0.1063743218892881,0.0771621183411461,-70.14290807863907,0.041410148480777,35.1,90
Rencana Cerdas,SH,-0.6280214881637416,320,6.281096879867237,0.4427724859301995,0.0360516201035305,-0.020312481152771,0.099642974245601,0.069207858638032,-61.80102758452573,0.040955206896701,32.5,91
Schroder Dana Prestasi Plus,SH,-0.7181628001148169,306,4.561737506470698,0.4519632055869459,0.023996665644173,-0.0148273425434447,0.1202403089451924,0.10917058796276,-121.9572832886225,0.0369330241060954,30.3,92
BNP Paribas Ekuitas,SH,-0.7330430144042899,302,5.704874660389878,0.5617782775565577,0.032430423243143,-0.0185974925137419,0.0865237115475396,0.0564899985673263,-71.9141141354528,0.0376619933987074,29.9,93
BNP Paribas Pesona,SH,-0.8824456326188841,342,5.575385728383599,0.5516005310138796,0.030539126383623,-0.0174568762501637,0.0883770910089671,0.0630636637964565,-106.6819021699667,0.0369709624317861,26.3,94
Schroder Dana Prestasi,SH,-1.013182690832718,346,3.960096562318827,0.3687022625185358,0.0221538088109823,-0.0131638967368661,0.1236555140063924,0.0968750714797075,-180.5767988906113,0.0364095425996301,23.1,95
Panin Dana Maksima,SH,-1.541487969743455,348,4.444380538577737,0.3249902941569353,0.012362685137539,-0.0042357557973335,0.0983904036957457,0.1073771091822864,-280.5175570038458,0.0456056205959622,10.1,96
Batavia Dana Saham,SH,-1.956326866022295,352,6.19928121445067,0.5160729290668522,0.0412930379378143,-0.0252369287186587,0.1201887386406453,0.0477298083404578,-269.9035345873093,0.0383043099473526,0.0,97
Principal Bond,PT,3.656852172237395,220,1.013317561312652,0.0131425347996542,0.0103486845238597,-0.0065415405398306,0.0449775503431069,0.0745921289390423,126.1581240628357,0.007093047381678,100.0,1
BRI Gebyar Indonesia II,PT,0.7702059602488592,213,1.140756914961937,0.1233890525806138,0.0158164651157799,-0.0101725781777909,0.0600174625011979,0.0980889343633484,6.763412522367322,0.0133047706900301,37.0,2
Bahana Prime Income Fund,PT,0.7535471845895481,125,4.123047174085348,0.0298437463579701,0.0139254776225175,-0.0088722989541366,0.0582138286328852,0.0952851070670866,8.33903113495269,0.0113416041961471,36.6,3
Panin Gebyar Indonesia II,PT,0.7353915231047883,213,1.113055444097632,0.1015721585992399,0.0141766423588382,-0.0090084817493902,0.0564530254762232,0.0959703674556828,5.757936978365236,0.0130847455939021,36.2,4
RD Haji Syariah I Hajj,PT,0.7353181212411478,253,0.9958471181454238,-0.0041702002033304,0.0028161410000203,-0.0017512080374834,0.0257891083729437,0.0579419965564667,11.91723994478628,0.0021263590179026,36.2,5
Eastspring Syariah Fixed Income Amanah Kelas B,PT,0.5253697761832318,72,1.027651504877509,0.026907472763157,0.0080156307910045,-0.0052909677163204,0.04173301987206,0.0759764640869908,2.216673893313895,0.005968388255688,31.7,6
Insight Renewable Energy Fund,PT,0.5139946390203799,175,1.481895461250461,-0.0122171497402805,0.0079892322201461,-0.0099837337746819,0.0248867648599999,0.0589627433720321,6.466089796400809,0.0020657505650066,31.4,7
I AM Bond Fund,PT,0.5067890080159677,118,1.392295821574592,0.1022022901811662,0.0115195120387056,-0.0070569268132619,0.0460909969997136,0.0858090028120726,2.750251965524525,0.0113377388634469,31.3,8
AXA Bond Income Kelas O,PT,0.4909611376496373,172,1.32621389968179,0.0574672756031866,0.0089062728102028,-0.0059113493174949,0.0390281706300139,0.076764002401255,3.229292783155301,0.0101278895891572,30.9,9
BRI Brawijaya Abadi Pendapatan Tetap,PT,0.4767671184535699,81,2.275806056691664,0.1211904924326476,0.011923020393927,-0.0076772930206543,0.0473819639929,0.0882517973887302,3.044412358069311,0.0135128103474338,30.6,10
Manulife Dana Tetap Utama,PT,0.472910951448648,157,2.465513059456478,-0.013987733876017,0.0426274354137246,-0.0443949221493185,0.0520619567509998,0.0854409274198184,7.00006693785667,0.0103347085740775,30.5,11
SAM Dana Obligasi,PT,0.4679042858750877,110,2.126173118629962,0.0593428246855381,0.0094480060282359,-0.0057528875099145,0.0387965984416949,0.0787382164462282,3.596347456172317,0.0097487219949957,30.4,12
Dana Obligasi Stabil,PT,0.4666613956528209,247,1.0150987203315,0.0148741398536777,0.0036109816402252,-0.0025028057327848,0.0237054493908279,0.0535405710258589,9.23403864059878,0.0059874276518146,30.4,13
Manulife Dana Tetap Pemerintah,PT,0.4543373892803723,220,2.49107258615055,-0.0035837630340773,0.0099152768560731,-0.0064214498667433,0.0400649178151335,0.0755328109052579,4.274736848635877,0.0116914639117605,30.1,14
SAM Dana Obligasi Prima,PT,0.435109283492777,89,1.547948324345649,0.03097540375963,0.0106321141507151,-0.0069534888753634,0.0443402572008759,0.0718371751524957,2.53866551816542,0.0083786757657342,29.7,15
BNP Paribas Proxima,PT,0.4331421853478753,135,2.257279063403143,0.1139775172571092,0.0088695286302405,-0.0059011562356242,0.0401012509824478,0.0800735078460461,5.306609059898499,0.0102453544744505,29.7,16
